Metric,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
Recon Flag Rate (Benign All),0.8962,0.127,0.0642
Recon Flag Rate (Benign Pre),0.9435,0.1147,0.0548
Recon Flag Rate (Attack B4),0.965,0.1312,0.0816
Benign Mean R(t),0.3172271891336819,0.2581103715459298,0.2656239684466019
Benign Median R(t),0.25245000000000006,0.1836,0.1836
Benign Std R(t),0.12417001932277609,0.15860151035396577,0.1660801310640728
"Benign False Escalations (R>=0.50, >=3w)",5,17,19
Pre-onset Benign Mean R(t),0.34960925727739733,0.29898859160958907,0.30195558647260273
Pre-onset Benign Median R(t),0.34425,0.25245000000000006,0.25245000000000006
Attack B4 Mean R(t),0.3540773505830905,0.29754708454810497,0.30544241982507286
Attack B4 Median R(t),0.3901500000000001,0.25245000000000006,0.25245000000000006
Attack All 4 Blocks Mean R(t),0.38677065281030454,0.368577268735363,0.37246721311475417
Attack All 4 Blocks Median R(t),0.3901500000000001,0.34425,0.34425
B4 vs Pre-onset: Observed Mean Diff,0.004468093305693144,-0.0014415070614841041,0.003486833352470131
B4 vs Pre-onset: Mean Diff 95% CI Lower,-0.01991675716507248,-0.04128209903176048,-0.036388473354223655
B4 vs Pre-onset: Mean Diff 95% CI Upper,0.028936628063346154,0.03543212226894783,0.04164835831571494
B4 vs Pre-onset: Overlap Coefficient,0.9188116538200405,0.8916889652142661,0.9116628060226049
B4 vs Pre-onset: Cohen's d,0.034910491579914014,-0.008272055141049665,0.019311675265536624
All Blocks vs Benign All: Cohen's d,0.5084477841007277,0.5820307903261175,0.5498209879900817
All Blocks vs Benign All: Overlap Coef,0.7331644958574765,0.7049761872696776,0.7209223213520524
Exp D: Trust Drop Confirmed,True,True,True
Exp D: Risk Dampening %,63.2,49.82,86.51
