Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
0,0.3443,0.3443,0.3443
1,0.6828,0.6828,0.6828
2,0.1836,0.1836,0.1836
3,0.3902,0.3902,0.3902
4,0.3902,0.3902,0.3902
5,0.3902,0.2525,0.2525
6,0.3443,0.4877,0.4877
7,0.3902,0.2525,0.2525
8,0.2525,0.1463,0.1463
9,0.2525,0.4131,0.4131
10,0.5967,0.5967,0.5967
11,0.5967,0.5967,0.5967
12,0.3443,0.5967,0.5967
13,0.5967,0.5967,0.5967
14,0.3902,0.5967,0.5967
15,0.3902,0.3443,0.3443
16,0.3443,0.4131,0.4131
17,0.3443,0.6828,0.6828
18,0.1836,0.1463,0.1463
19,0.1836,0.1463,0.1463
20,0.3902,0.2525,0.2525
21,0.3902,0.2525,0.2525
22,0.3443,0.1463,0.1463
23,0.3902,0.3443,0.3443
24,0.2525,0.1463,0.1463
25,0.2525,0.1463,0.1463
26,0.1836,0.1463,0.1463
27,0.3902,0.2525,0.2525
28,0.2525,0.1463,0.1463
29,0.1836,0.1463,0.1463
30,0.3443,0.1463,0.1463
31,0.3902,0.2525,0.2525
32,0.1836,0.1463,0.1463
33,0.3443,0.1463,0.1463
34,0.3443,0.1463,0.1463
35,0.2525,0.1463,0.1463
36,0.3902,0.2525,0.2525
37,0.1836,0.1463,0.1463
38,0.3902,0.3443,0.3443
39,0.3443,0.1463,0.1463
40,0.3902,0.2525,0.5967
41,0.2525,0.4131,0.4131
42,0.3902,0.5967,0.5967
43,0.3902,0.6828,0.7344
44,0.5967,0.5967,0.5967
45,0.2525,0.4131,0.7344
46,0.4131,0.4131,0.4131
47,0.4131,0.4131,0.4131
48,0.3902,0.3443,0.3443
49,0.3902,0.3443,0.3443
50,0.3902,0.2525,0.2525
51,0.3902,0.2525,0.2525
52,0.3902,0.2525,0.2525
53,0.2525,0.1463,0.1463
54,0.2525,0.1463,0.1463
55,0.2525,0.1463,0.1463
56,0.1836,0.1463,0.1463
57,0.2525,0.1463,0.1463
58,0.2525,0.1463,0.1463
59,0.2525,0.1463,0.1463
60,0.1836,0.1463,0.1463
61,0.2525,0.1463,0.1463
62,0.3443,0.1463,0.1463
63,0.2525,0.1463,0.5967
64,0.3902,0.2525,0.2525
65,0.3902,0.2525,0.2525
66,0.3902,0.2525,0.2525
67,0.4131,0.4131,0.4131
68,0.2525,0.1463,0.1463
69,0.2525,0.1463,0.1463
70,0.1836,0.1836,0.1463
71,0.3902,0.2525,0.2525
72,0.3443,0.1463,0.1463
73,0.3443,0.1463,0.1463
74,0.3902,0.2525,0.2525
75,0.3902,0.2525,0.2525
76,0.2525,0.1463,0.1463
77,0.6828,0.6828,0.6828
78,0.5967,0.5967,0.5967
79,0.5967,0.5967,0.5967
80,0.5967,0.5967,0.5967
81,0.3443,0.3443,0.3443
82,0.3902,0.2525,0.2525
83,0.3443,0.2525,0.1463
84,0.2525,0.1463,0.1463
85,0.3902,0.2525,0.2525
86,0.2525,0.1463,0.1463
87,0.2525,0.1463,0.1463
88,0.3902,0.2525,0.2525
89,0.2525,0.1463,0.1463
90,0.2525,0.1463,0.1463
91,0.3902,0.2525,0.2525
92,0.1836,0.1463,0.1463
93,0.1836,0.1836,0.1463
94,0.6828,0.6828,0.6828
95,0.1836,0.1836,0.1463
96,0.3902,0.3443,0.3443
97,0.3902,0.3443,0.3443
98,0.3902,0.3443,0.3443
99,0.3443,0.6828,0.6828
100,0.3443,0.1463,0.1463
101,0.3443,0.4131,0.4131
102,0.2525,0.4131,0.7344
103,0.6828,0.6828,0.6828
104,0.3902,0.3443,0.3443
105,0.3902,0.3443,0.3443
106,0.3902,0.3902,0.3902
107,0.3902,0.3443,0.3443
108,0.3902,0.3443,0.3443
109,0.3443,0.1463,0.1463
110,0.3443,0.4131,0.4131
