Window_Index,OLD_STATIC,PORT_DYNAMIC,MULTI_SIGNAL
0,0.3443,0.3443,0.3443
1,0.3902,0.3902,0.3902
2,0.3443,0.3443,0.3443
3,0.3443,0.3443,0.3443
4,0.3443,0.3443,0.3443
5,0.6828,0.6828,0.6828
6,0.2525,0.4877,0.4877
7,0.2525,0.4877,0.4877
8,0.6828,0.6828,0.6828
9,0.6828,0.6828,0.6828
10,0.3443,0.6828,0.6828
11,0.2525,0.4877,0.4877
12,0.6828,0.6828,0.6828
13,0.6828,0.6828,0.6828
14,0.3902,0.3443,0.3443
15,0.3902,0.2525,0.2525
16,0.4131,0.4131,0.4131
17,0.3443,0.4131,0.4131
18,0.3902,0.2525,0.2525
19,0.3902,0.2525,0.2525
20,0.3443,0.4131,0.4131
21,0.3902,0.2525,0.2525
22,0.2525,0.4131,0.4131
23,0.2525,0.4131,0.4131
24,0.1836,0.1836,0.1463
25,0.3902,0.2525,0.2525
26,0.3443,0.1463,0.1463
27,0.3902,0.2525,0.2525
28,0.6828,0.6828,0.6828
29,0.3443,0.1463,0.1463
30,0.1836,0.1836,0.1836
31,0.3902,0.2525,0.2525
32,0.3443,0.3443,0.3443
33,0.3902,0.3443,0.3443
34,0.2525,0.1463,0.1463
35,0.3902,0.2525,0.2525
36,0.1836,0.1463,0.1463
37,0.3902,0.6828,0.6828
38,0.3902,0.2525,0.2525
39,0.5967,0.5967,0.7344
40,0.6828,0.6828,0.7344
41,0.3443,0.5967,0.7344
42,0.6828,0.6828,0.7344
43,0.3902,0.5967,0.5967
44,0.3902,0.3443,0.3443
45,0.3902,0.3443,0.3443
46,0.3443,0.6828,0.6828
47,0.6828,0.6828,0.6828
48,0.3902,0.3443,0.3443
49,0.3443,0.5967,0.5967
50,0.3902,0.3443,0.3443
51,0.3443,0.5967,0.5967
52,0.3443,0.1463,0.1463
53,0.3443,0.1463,0.1463
54,0.3443,0.1463,0.1463
55,0.3902,0.2525,0.2525
56,0.3443,0.1463,0.1463
57,0.1836,0.1463,0.1463
58,0.1836,0.1463,0.1463
59,0.3902,0.2525,0.2525
60,0.3443,0.3443,0.3443
61,0.3443,0.3443,0.3443
62,0.6828,0.6828,0.6828
63,0.3443,0.6828,0.6828
64,0.5967,0.5967,0.5967
65,0.3902,0.5967,0.5967
66,0.3902,0.3443,0.3443
67,0.3902,0.3443,0.3443
68,0.2525,0.1463,0.1463
69,0.2525,0.1463,0.1463
70,0.2525,0.1463,0.1463
71,0.2525,0.1463,0.1463
72,0.2525,0.1463,0.1463
73,0.2525,0.1463,0.1463
74,0.1836,0.1836,0.1836
75,0.2525,0.1463,0.1463
76,0.2525,0.1463,0.1463
77,0.3902,0.3443,0.3443
78,0.3902,0.3443,0.3443
79,0.1836,0.1836,0.1463
80,0.1836,0.1463,0.1463
81,0.2525,0.1463,0.1463
82,0.3902,0.2525,0.2525
83,0.3902,0.2525,0.2525
84,0.3902,0.3443,0.3443
85,0.1836,0.1463,0.5967
86,0.2525,0.4131,0.4131
87,0.3902,0.5967,0.5967
88,0.5967,0.5967,0.5967
89,0.2525,0.4131,0.7344
90,0.2525,0.1463,0.1463
91,0.2525,0.4131,0.4131
92,0.3902,0.2525,0.2525
93,0.2525,0.4131,0.4131
94,0.1836,0.1836,0.1463
95,0.2525,0.1463,0.4877
96,0.2525,0.1463,0.1463
97,0.1836,0.1836,0.1463
98,0.3902,0.2525,0.2525
99,0.3902,0.2525,0.2525
100,0.1836,0.1836,0.1463
101,0.2525,0.1463,0.1463
102,0.3902,0.2525,0.2525
103,0.6828,0.6828,0.6828
104,0.2525,0.1463,0.1463
105,0.3902,0.2525,0.2525
106,0.1836,0.1836,0.1836
107,0.3443,0.1463,0.1463
108,0.3902,0.2525,0.2525
109,0.2525,0.1463,0.1463
110,0.3443,0.3443,0.3443
111,0.3902,0.3443,0.3443
112,0.2525,0.4131,0.4131
113,0.2525,0.1463,0.1463
114,0.2525,0.1463,0.1463
115,0.1836,0.1836,0.1463
116,0.2525,0.1463,0.1463
117,0.6828,0.6828,0.6828
118,0.3443,0.1463,0.1463
119,0.3902,0.2525,0.2525
120,0.3443,0.4877,0.4877
121,0.3902,0.2525,0.2525
122,0.3902,0.2525,0.2525
123,0.3902,0.2525,0.2525
124,0.2525,0.1463,0.1463
125,0.2525,0.1463,0.1463
126,0.2525,0.1463,0.1463
127,0.1836,0.1463,0.1463
128,0.1836,0.1836,0.1463
129,0.1836,0.1836,0.1836
130,0.3443,0.3443,0.3443
131,0.3902,0.2525,0.2525
132,0.3443,0.3443,0.3443
133,0.3443,0.1463,0.1463
134,0.1836,0.1836,0.1836
135,0.3902,0.2525,0.2525
136,0.2525,0.1463,0.1463
137,0.3902,0.2525,0.2525
138,0.3902,0.2525,0.2525
139,0.1836,0.1836,0.1836
140,0.2525,0.1463,0.1463
141,0.2525,0.1463,0.4131
142,0.3902,0.2525,0.2525
143,0.3902,0.2525,0.2525
144,0.1836,0.1836,0.1836
145,0.3443,0.4131,0.4131
146,0.2525,0.1463,0.1463
147,0.3902,0.2525,0.2525
148,0.3902,0.2525,0.2525
149,0.3902,0.3443,0.3443
150,0.3902,0.2525,0.2525
