Step_Index,Trust,OLD_STATIC_R0,PORT_DYNAMIC_R0,MULTI_SIGNAL_R0
0,0.85,0.1463,0.1463,0.1463
1,0.85,0.1463,0.1463,0.1463
2,0.85,0.1463,0.1463,0.1463
3,0.85,0.1463,0.1463,0.1463
4,0.85,0.1463,0.1463,0.1463
5,0.85,0.1463,0.1463,0.1463
6,0.85,0.1836,0.1836,0.4877
7,0.85,0.1836,0.1836,0.4877
8,0.85,0.1836,0.1836,0.6828
9,0.35,0.0676,0.0921,0.0921
10,0.85,0.3443,0.3443,0.3443
11,0.85,0.3443,0.3443,0.3443
12,0.85,0.3443,0.3443,0.3443
13,0.85,0.2525,0.2525,0.2525
14,0.85,0.1463,0.1463,0.1463
15,0.85,0.1463,0.1463,0.1463
