Block_ID,Model,Delta_MAE,Delta_RMSE,Directional_Accuracy,Directional_Accuracy_Nonzero
block-1-wed,block-1-wed_B1_ZeroChange,10699983978.528563,513921850414.422668,0.0076,0.0000
block-1-wed,block-1-wed_B2_Persistence,21398296024.838764,890138246217.729858,0.3590,0.3617
block-1-wed,block-1-wed_B3_EWMA,16330142819.403759,685347445511.946533,0.3471,0.3498
block-1-wed,block-1-wed_B4_AR_style,10699220880.254530,419829432371.978516,0.6472,0.6522
block-1-wed,block-1-wed_B5_Ridge,13734952542.072868,366946860422.496643,0.6655,0.6706
block-1-wed,block-1-wed_B6_GBDT,21427970451.783924,449875601566.110901,0.6672,0.6723
block-2-wed,block-2-wed_B1_ZeroChange,162963627.769682,6959772658.001314,0.0063,0.0000
block-2-wed,block-2-wed_B2_Persistence,322426136.840851,12079149781.752842,0.3498,0.3519
block-2-wed,block-2-wed_B3_EWMA,246593701.741070,9297182276.078417,0.3389,0.3410
block-2-wed,block-2-wed_B4_AR_style,159511822.178683,5633561747.270350,0.6632,0.6674
block-2-wed,block-2-wed_B5_Ridge,7315248626.739443,41946092154.946213,0.6815,0.6858
block-2-wed,block-2-wed_B6_GBDT,5017625484.131001,98089905992.750961,0.6788,0.6831
block-3-thu,block-3-thu_B1_ZeroChange,325642635.067348,7844620191.911133,0.0107,0.0000
block-3-thu,block-3-thu_B2_Persistence,646202004.850043,13574722895.380421,0.3322,0.3353
block-3-thu,block-3-thu_B3_EWMA,490804469.633734,10449870794.462042,0.3338,0.3374
block-3-thu,block-3-thu_B4_AR_style,322716773.261281,6438144588.890696,0.6683,0.6755
block-3-thu,block-3-thu_B5_Ridge,7892045785.129159,40444247818.941338,0.6806,0.6880
block-3-thu,block-3-thu_B6_GBDT,5666922114.162199,133626344515.412872,0.6756,0.6829
block-4-thu,block-4-thu_B1_ZeroChange,3954836374.479766,174266475761.118866,0.0152,0.0000
block-4-thu,block-4-thu_B2_Persistence,7908796010.408788,301895276518.806274,0.3328,0.3373
block-4-thu,block-4-thu_B3_EWMA,6031558191.260276,232334977558.550171,0.3425,0.3477
block-4-thu,block-4-thu_B4_AR_style,3948764644.770247,142345804704.880737,0.6533,0.6633
block-4-thu,block-4-thu_B5_Ridge,10151690121.332272,131198581018.878952,0.6488,0.6588
block-4-thu,block-4-thu_B6_GBDT,8820283504.905386,189580975282.090881,0.6385,0.6483
