Block_ID,Model,Delta_MAE_Raw,Delta_RMSE_Raw,Delta_MAE_Normalized,Delta_RMSE_Normalized,Directional_Accuracy,Directional_Accuracy_Nonzero
block-1-wed,block-1-wed_B1_ZeroChange,10699983978.528563,513921850414.422668,348.733411,16676.621122,0.0076,0.0000
block-1-wed,block-1-wed_B2_Persistence,21398296024.838764,890138246217.729858,697.121604,28884.738482,0.3590,0.3617
block-1-wed,block-1-wed_B3_EWMA,13306866338.597860,583191300160.368286,433.587265,18924.395503,0.3174,0.3198
block-1-wed,block-1-wed_B4_AR_best,10664213555.518286,392813682592.300354,347.458658,12746.694939,0.6791,0.6843
block-1-wed,block-1-wed_B5_Ridge,20142109993.129215,369913427518.694275,654.926732,12003.588095,0.6713,0.6765
block-1-wed,block-1-wed_B6_GBDT,20025070674.252934,471869098824.745789,651.153635,15312.020772,0.6762,0.6814
block-2-wed,block-2-wed_B1_ZeroChange,162963627.769682,6959772658.001314,6.784198,231.411341,0.0063,0.0000
block-2-wed,block-2-wed_B2_Persistence,322426136.840851,12079149781.752842,13.180113,401.626642,0.3498,0.3519
block-2-wed,block-2-wed_B3_EWMA,198920682.629630,7897786126.144140,8.204395,262.600223,0.3163,0.3183
block-2-wed,block-2-wed_B4_AR_best,159089615.270501,5306465034.266419,6.497911,176.444330,0.6894,0.6938
block-2-wed,block-2-wed_B5_Ridge,12655989767.021822,68137411673.769547,421.839918,2265.096507,0.6924,0.6968
block-2-wed,block-2-wed_B6_GBDT,4186240314.544885,68146546790.469223,140.283604,2265.400171,0.6842,0.6885
block-3-thu,block-3-thu_B1_ZeroChange,325642635.067348,7844620191.911133,11.724772,261.755676,0.0107,0.0000
block-3-thu,block-3-thu_B2_Persistence,646202004.850043,13574722895.380421,23.087456,452.953615,0.3322,0.3353
block-3-thu,block-3-thu_B3_EWMA,387022937.351913,8893200400.853191,13.913314,296.744137,0.2930,0.2962
block-3-thu,block-3-thu_B4_AR_best,301197968.705657,5882545051.953266,10.776034,196.287903,0.7040,0.7116
block-3-thu,block-3-thu_B5_Ridge,12624995849.660254,65451663087.075432,422.005283,2183.823548,0.6895,0.6970
block-3-thu,block-3-thu_B6_GBDT,4930829826.935863,108491114032.079422,165.285257,3619.852567,0.6711,0.6783
block-4-thu,block-4-thu_B1_ZeroChange,3954836374.479766,174266475761.118866,132.695498,5797.882073,0.0152,0.0000
block-4-thu,block-4-thu_B2_Persistence,7908796010.408788,301895276518.806274,265.185079,10044.118849,0.3328,0.3373
block-4-thu,block-4-thu_B3_EWMA,4907833805.229996,197755333340.141724,164.599182,6579.361276,0.3224,0.3274
block-4-thu,block-4-thu_B4_AR_best,3943405017.820919,133193810087.684235,132.216413,4431.386137,0.6694,0.6797
block-4-thu,block-4-thu_B5_Ridge,16804188974.398645,146906285544.657074,560.081472,4887.602513,0.6591,0.6692
block-4-thu,block-4-thu_B6_GBDT,13729831112.551191,227114218144.274658,457.775193,7556.135428,0.6466,0.6566
