Feature,Training_Scale_IQR,ZeroChange_Raw_MAE,ZeroChange_Norm_MAE,ZeroChange_DA,Persistence_Raw_MAE,Persistence_Norm_MAE,Persistence_DA,AR_Raw_MAE,AR_Norm_MAE,AR_DA,Ridge_Raw_MAE,Ridge_Norm_MAE,Ridge_DA,GBDT_Raw_MAE,GBDT_Norm_MAE,GBDT_DA
flow_count,101.250000,77.913199,0.769513,0.0107,140.536861,1.388018,0.3585,70.536758,0.696659,0.6724,70.481160,0.696110,0.6350,71.464981,0.705827,0.6159
byte_rate,22080.450000,64598.040844,2.925576,0.0000,116082.205945,5.257239,0.3413,66511.305154,3.012226,0.6403,86763.557150,3.929429,0.5785,82650.527039,3.743154,0.5309
packet_rate,106.450000,113.205826,1.063465,0.0006,201.201427,1.890103,0.3585,107.877796,1.013413,0.6605,122.545101,1.151199,0.6225,128.230491,1.204608,0.5719
mean_flow_duration,11.134271,7.092634,0.637009,0.0000,12.198213,1.095556,0.3389,5.494823,0.493505,0.7111,5.252970,0.471784,0.7241,5.371520,0.482431,0.7313
dst_port_diversity,14.000000,18.465517,1.318966,0.0535,34.350773,2.453627,0.3109,17.365782,1.240413,0.6813,15.832644,1.130903,0.6118,15.821838,1.130131,0.6231
syn_count,12.000000,5.903092,0.491924,0.1231,10.294293,0.857858,0.3020,5.081916,0.423493,0.6141,5.037715,0.419810,0.6136,5.398645,0.449887,0.6106
ack_count,30.000000,13.049941,0.434998,0.0345,22.387634,0.746254,0.3252,10.564397,0.352147,0.7004,10.518694,0.350623,0.6902,10.670011,0.355667,0.6819
rst_count,28.000000,15.782402,0.563657,0.0583,27.966112,0.998790,0.2961,13.712994,0.489750,0.6415,15.105754,0.539491,0.6213,15.358074,0.548503,0.6046
syn_ratio,0.010487,0.009150,0.872500,0.0357,0.016392,1.563007,0.3282,0.007590,0.723753,0.6671,0.006984,0.665983,0.6908,0.007461,0.711389,0.6629
rst_ratio,0.014961,0.008663,0.579044,0.0000,0.015062,1.006749,0.3187,0.006781,0.453262,0.6950,0.006559,0.438402,0.7224,0.006692,0.447312,0.7045
iat_mean,1.545414,2.747486,1.777832,0.0000,4.784129,3.095695,0.3181,2.208014,1.428753,0.7075,2.225364,1.439979,0.6974,2.399806,1.552857,0.6665
iat_std,1.154555,0.772513,0.669101,0.0000,1.340812,1.161324,0.3401,0.613300,0.531201,0.7170,0.574588,0.497671,0.7408,0.583021,0.504975,0.7360
pkt_size_mean,38.788652,23.873880,0.615486,0.0000,41.033709,1.057879,0.3407,18.776851,0.484081,0.7206,18.161021,0.468204,0.7206,18.433922,0.475240,0.7087
pkt_size_std,61.607418,35.977483,0.583980,0.0000,62.897957,1.020948,0.3121,27.826386,0.451673,0.7265,27.751578,0.450458,0.7200,27.788033,0.451050,0.7182
byte_variance,32070171.622999,78352352237.395767,2443.153506,0.0000,133385767873.185013,4159.184723,0.3436,90236564558.042770,2813.722534,0.6593,306229563667.432922,9548.734795,0.4970,220152837138.606354,6864.722763,0.5071
