Block_ID,Horizon,OpenLoop_Norm_MAE,OpenLoop_DA,Rolling_OneStep_After_Refresh_Norm_MAE,Rolling_OneStep_After_Refresh_DA
block-1-wed,1,339.7224,0.6793,339.7224,0.6793
block-1-wed,2,390.4950,0.5374,339.7214,0.6799
block-1-wed,3,390.3989,0.5277,339.7224,0.6795
block-2-wed,1,6.3858,0.6903,6.3858,0.6903
block-2-wed,2,7.3527,0.5233,6.3689,0.6905
block-2-wed,3,7.2940,0.5207,6.3362,0.6900
block-3-thu,1,10.5712,0.7034,10.5712,0.7034
block-3-thu,2,12.6703,0.5249,10.5746,0.7038
block-3-thu,3,12.6632,0.5210,10.5775,0.7033
block-4-thu,1,129.6421,0.6694,129.6421,0.6694
block-4-thu,2,148.6419,0.5085,129.6407,0.6692
block-4-thu,3,148.6125,0.5009,129.6409,0.6696
