scenario_id,is_attack,B0_action,B0_disruption,B0_risk,B1_action,B1_disruption,B1_risk,B2_action,B2_disruption,B2_risk,B3_action,B3_alert,B3_disruption,B3_risk,B4_action,B4_disruption,B4_risk,B5_action,B5_status,B5_disruption,B5_risk,B5_peak_risk,B5_safety_envelope_satisfied,B5_rejection_reasons,B5_vs_B1_disruption_reduction_pct
recon_slow_port_scan,True,DO_NOTHING,0.0,0.0951,TEMPORARY_BLOCK_IP,0.0167,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,True,0.0,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,100.0
recon_stepping_stone,True,DO_NOTHING,0.0,0.1642,TEMPORARY_BLOCK_IP,0.0167,0.1642,RATE_LIMIT_IP,0.0042,0.1642,DO_NOTHING,True,0.0,0.1642,RATE_LIMIT_IP,0.0042,0.1642,DO_NOTHING,RECOMMENDED,0.0,0.1642,0.2244,True,,100.0
recon_rapid_syn_probe,True,DO_NOTHING,0.0,0.2537,TEMPORARY_BLOCK_IP,0.0167,0.2537,RATE_LIMIT_IP,0.0042,0.2537,DO_NOTHING,True,0.0,0.2537,RATE_LIMIT_IP,0.0042,0.2537,DO_NOTHING,RECOMMENDED,0.0,0.2537,0.3468,True,,100.0
dos_gradual_syn_ramp,True,DO_NOTHING,0.0,0.3171,TEMPORARY_BLOCK_IP,0.0167,0.3171,RATE_LIMIT_IP,0.0042,0.3171,DO_NOTHING,True,0.0,0.3171,RATE_LIMIT_IP,0.0042,0.3171,DO_NOTHING,RECOMMENDED,0.0,0.3171,0.4335,True,,100.0
dos_connection_exhaustion,True,DO_NOTHING,0.0,0.5391,TEMPORARY_BLOCK_IP,0.0167,0.5391,RATE_LIMIT_IP,0.0042,0.5391,DO_NOTHING,True,0.0,0.5391,RATE_LIMIT_IP,0.0042,0.5391,NO_SUFFICIENT_ACTION,NO_SUFFICIENT_ACTION,0.0,0.5391,0.7369,False,Aggregate future risk J_risk (0.539) exceeds target threshold (0.400).; Peak future risk R_max (0.737) exceeds ceiling threshold (0.600).,100.0
dos_volumetric_udp_flood,True,DO_NOTHING,0.0,0.5391,TEMPORARY_BLOCK_IP,0.0167,0.5391,RATE_LIMIT_IP,0.0042,0.444,DO_NOTHING,True,0.0,0.5391,RATE_LIMIT_IP,0.0042,0.444,NO_SUFFICIENT_ACTION,NO_SUFFICIENT_ACTION,0.0,0.444,0.6069,False,Aggregate future risk J_risk (0.444) exceeds target threshold (0.400).; Peak future risk R_max (0.607) exceeds ceiling threshold (0.600).,100.0
exfil_dns_tunneling,True,DO_NOTHING,0.0,0.0951,TEMPORARY_BLOCK_IP,0.0167,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,True,0.0,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,100.0
exfil_volumetric_tcp,True,DO_NOTHING,0.0,0.0951,TEMPORARY_BLOCK_IP,0.0167,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,True,0.0,0.0951,RATE_LIMIT_IP,0.0042,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,100.0
exfil_burst_web,True,DO_NOTHING,0.0,0.2686,TEMPORARY_BLOCK_IP,0.0167,0.2686,RATE_LIMIT_IP,0.0042,0.2686,DO_NOTHING,True,0.0,0.2686,RATE_LIMIT_IP,0.0042,0.2686,DO_NOTHING,RECOMMENDED,0.0,0.2686,0.3672,True,,100.0
benign_backup_surge,False,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,False,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,0.0
benign_flash_crowd,False,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,False,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,0.0
benign_ambiguous_noise,False,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,False,0.0,0.0951,DO_NOTHING,0.0,0.0951,DO_NOTHING,RECOMMENDED,0.0,0.0951,0.13,True,,0.0
