window_index,window_id,flow_count,byte_rate,dst_port_diversity,recommended_action,active_posture,verification_status,reconsideration_count,composite_trust
0,demo_w000_120000_10s,15,2275.357153204958,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
1,demo_w001_120010_10s,16,2099.329242098518,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
2,demo_w002_120020_10s,14,1877.9972601681013,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
3,demo_w003_120030_10s,14,2233.0880728874677,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
4,demo_w004_120040_10s,16,2154.0362888980226,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
5,demo_w005_120050_10s,14,2284.954926080997,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
6,demo_w006_120100_10s,17,1906.169555339138,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
7,demo_w007_120110_10s,14,1891.702254926717,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
8,demo_w008_120120_10s,15,2062.378215816119,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
9,demo_w009_120130_10s,15,1945.614570099021,2,DO_NOTHING,NO_ACTION,N/A,0,0.85
10,demo_w010_120140_10s,20,3000.0,3,DO_NOTHING,NO_ACTION,N/A,0,0.85
11,demo_w011_120150_10s,30,3800.0,7,DO_NOTHING,NO_ACTION,N/A,0,0.85
12,demo_w012_120200_10s,40,4600.0,11,DO_NOTHING,NO_ACTION,N/A,0,0.85
13,demo_w013_120210_10s,50,5400.0,15,DO_NOTHING,NO_ACTION,N/A,0,0.85
14,demo_w014_120220_10s,60,6200.0,19,DO_NOTHING,NO_ACTION,N/A,0,0.85
15,demo_w015_120230_10s,70,7000.0,23,DO_NOTHING,NO_ACTION,N/A,0,0.85
16,demo_w016_120240_10s,80,7800.0,27,DO_NOTHING,NO_ACTION,N/A,0,0.85
17,demo_w017_120250_10s,90,8600.0,31,DO_NOTHING,NO_ACTION,N/A,0,0.85
18,demo_w018_120300_10s,100,9400.0,35,DO_NOTHING,TEMP_RATE_LIMIT,N/A,0,0.85
