scenario_name,window_index,is_alert,event_type,confidence,trigger_reason
1_recon_progression,0,False,None,0.1,Telemetry within normal baseline thresholds
1_recon_progression,1,False,None,0.1,Telemetry within normal baseline thresholds
1_recon_progression,2,False,None,0.1,Telemetry within normal baseline thresholds
1_recon_progression,3,False,None,0.1,Telemetry within normal baseline thresholds
1_recon_progression,4,False,None,0.1,Telemetry within normal baseline thresholds
1_recon_progression,5,True,Reconnaissance,1.0,Current dst_port_diversity=22.0 >= 20
1_recon_progression,6,True,Reconnaissance,1.0,Current dst_port_diversity=35.0 >= 20
1_recon_progression,7,True,Reconnaissance,1.0,Current dst_port_diversity=48.0 >= 20
2_dos_progression,0,False,None,0.1,Telemetry within normal baseline thresholds
2_dos_progression,1,False,None,0.1,Telemetry within normal baseline thresholds
2_dos_progression,2,False,None,0.1,Telemetry within normal baseline thresholds
2_dos_progression,3,False,None,0.1,Telemetry within normal baseline thresholds
2_dos_progression,4,False,None,0.1,Telemetry within normal baseline thresholds
2_dos_progression,5,True,Impact / Denial of Service,0.75,Current flow_count=220.0 >= 200 and rst_ratio=0.30 >= 0.25
2_dos_progression,6,True,Impact / Denial of Service,0.75,Current flow_count=350.0 >= 200 and rst_ratio=0.38 >= 0.25
2_dos_progression,7,True,Impact / Denial of Service,0.75,Current flow_count=480.0 >= 200 and rst_ratio=0.42 >= 0.25
3_exfiltration_progression,0,False,None,0.1,Telemetry within normal baseline thresholds
3_exfiltration_progression,1,False,None,0.1,Telemetry within normal baseline thresholds
3_exfiltration_progression,2,False,None,0.1,Telemetry within normal baseline thresholds
3_exfiltration_progression,3,False,None,0.1,Telemetry within normal baseline thresholds
3_exfiltration_progression,4,False,None,0.1,Telemetry within normal baseline thresholds
3_exfiltration_progression,5,True,Collection / Exfiltration,0.7,"Current byte_rate=120,000 >= 100,000"
3_exfiltration_progression,6,True,Collection / Exfiltration,0.7,"Current byte_rate=250,000 >= 100,000"
3_exfiltration_progression,7,True,Collection / Exfiltration,0.7,"Current byte_rate=400,000 >= 100,000"
4_benign_burst_traffic,0,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,1,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,2,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,3,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,4,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,5,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,6,False,None,0.1,Telemetry within normal baseline thresholds
4_benign_burst_traffic,7,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,0,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,1,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,2,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,3,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,4,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,5,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,6,False,None,0.1,Telemetry within normal baseline thresholds
5_ambiguous_mixed_traffic,7,False,None,0.1,Telemetry within normal baseline thresholds
