Feature,Pre_Onset_Mean,Pre_Onset_Std,B4_Mean,B4_Std,Cohens_d,Overlap
flow_count,101.2517,85.1473,151.9913,391.0118,0.205,0.9174
byte_rate,99656.2959,916164.9434,33441.7921,165399.3233,-0.0901,0.9841
packet_rate,179.1671,880.5604,121.2994,216.2772,-0.0813,0.9744
mean_flow_duration,17.1829,6.9068,13.3748,7.1532,-0.5435,0.7498
dst_port_diversity,23.9606,11.3924,47.9184,159.2342,0.246,0.9501
syn_count,7.6096,7.8865,7.6676,7.3963,0.0075,0.8751
ack_count,25.1798,18.0312,21.2857,14.4068,-0.2318,0.8496
rst_count,21.3048,24.8596,20.8542,19.9213,-0.0194,0.8304
syn_ratio,0.0104,0.0134,0.0101,0.011,-0.0196,0.8543
rst_ratio,0.0186,0.0078,0.0221,0.0108,0.3871,0.761
iat_mean,4.8178,2.9613,2.7072,2.315,-0.7695,0.6033
iat_std,1.227,0.7796,1.1985,0.7579,-0.0369,0.8468
pkt_size_mean,72.9589,23.5841,71.3195,25.0477,-0.0678,0.8132
pkt_size_std,99.0773,33.7117,102.5551,36.6295,0.0998,0.8137
byte_variance,131128533236.464,1594240401995.9644,29692699998.8705,476423985653.722,-0.0781,0.9897
