Rank,Representation,Family,Cohens_d_B4,Overlap_B4,CI_95_Spans_Zero,Wed_B1_d,Wed_B2_d,Thu_B3_d,Thu_B4_d
1,Fam0_Level_iat_mean,fam0_levels,-0.7695,0.6033,False,-1.349,-1.504,-1.389,-0.93
2,Fam0_Level_rst_ratio,fam0_levels,0.3871,0.761,False,0.559,0.961,0.307,0.276
3,Fam3_Burst_byte_duty_cycle,fam3_burst,-0.3336,0.7815,True,0.176,-0.191,0.454,0.134
4,Fam4_Sync_flow_rst,fam4_synchrony,-0.296,0.8767,False,-0.463,-0.546,-0.172,-0.307
5,Fam0_Level_dst_port_diversity,fam0_levels,0.246,0.9501,False,0.454,0.381,0.229,0.374
6,Fam0_Level_flow_count,fam0_levels,0.205,0.9174,False,0.863,0.949,0.319,0.368
7,Fam4_Sync_Mahalanobis_Vector,fam4_synchrony,0.1486,0.9698,False,0.133,0.017,0.017,0.124
8,Fam3_Burst_flow_quiet_duration,fam3_burst,0.1391,0.9289,True,-0.173,0.049,-0.304,-0.035
9,Fam5_Res_Norm_Euclidean,fam5_residuals,-0.1072,0.9726,True,0.109,-0.105,-0.115,-0.014
10,Fam0_Level_byte_rate,fam0_levels,-0.0901,0.9841,True,0.014,0.011,-0.041,-0.036
11,Fam3_Burst_flow_run_length,fam3_burst,0.09,0.9778,True,0.057,0.018,0.116,0.038
12,Fam3_Burst_flow_duty_cycle,fam3_burst,0.0467,0.8382,True,0.164,-0.025,0.428,-0.012
13,Fam3_Burst_byte_run_length,fam3_burst,-0.0459,0.9697,True,0.068,0.012,0.152,0.023
14,Fam3_Burst_dst_port_run_length,fam3_burst,0.0381,0.9816,True,-0.011,0.022,-0.066,0.001
15,Fam4_Sync_flow_iat,fam4_synchrony,-0.0286,0.8276,True,-0.146,-0.093,-0.177,0.025
16,Fam5_Res_Delta_Alignment,fam5_residuals,-0.0222,0.989,True,-0.012,0.028,0.037,-0.048
17,Fam1_NormDiff_byte_rate,fam1_norm_diffs,-0.0201,0.9824,True,-0.01,-0.013,-0.012,-0.008
18,Fam4_Sync_flow_byte,fam4_synchrony,0.0189,0.864,True,-0.061,0.024,-0.06,0.069
19,Fam2_NormAccel_byte_rate,fam2_norm_accel,-0.0142,0.9428,True,-0.002,-0.04,-0.008,-0.009
20,Fam1_NormDiff_iat_mean,fam1_norm_diffs,0.0066,0.9411,True,0.012,0.003,-0.004,0.014
21,Fam2_NormAccel_flow_count,fam2_norm_accel,0.0037,0.9118,True,0.008,-0.011,0.008,0.004
22,Fam1_NormDiff_flow_count,fam1_norm_diffs,0.003,0.9262,True,-0.014,-0.109,0.01,0.009
23,Fam5_Res_iat_mean,fam5_residuals,-0.0029,0.7699,True,-0.003,-0.003,-0.008,-0.006
24,Fam5_Res_flow_count,fam5_residuals,0.0013,0.8502,True,-0.008,-0.053,0.004,0.003
25,Fam1_Diff_dst_port_diversity,fam1_diffs,0.0006,0.9534,True,-0.0,-0.024,0.001,0.001
26,Fam5_Res_dst_port_diversity,fam5_residuals,0.0004,0.8134,True,-0.001,-0.066,0.002,0.001
27,Fam5_Res_byte_rate,fam5_residuals,-0.0001,0.9723,True,-0.0,-0.0,0.0,0.0
