Representation,Block_ID,Block_Name,Cohens_d,Overlap,Mean_Diff,CI_95_Lower,CI_95_Upper
Fam0_Level_dst_port_diversity,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.4544,0.8451,35.0012,14.7975,49.6291
Fam0_Level_dst_port_diversity,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.381,0.8247,27.7163,12.8753,42.7623
Fam0_Level_dst_port_diversity,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.2285,0.9303,11.9602,2.7657,24.0158
Fam0_Level_dst_port_diversity,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.3739,0.9113,27.1178,9.7525,44.5061
Fam0_Level_flow_count,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.863,0.5828,153.1726,115.9587,185.2658
Fam0_Level_flow_count,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.9488,0.4284,189.8985,146.5022,234.228
Fam0_Level_flow_count,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.3194,0.8668,45.7145,21.5097,77.7803
Fam0_Level_flow_count,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.3679,0.9416,69.3505,24.3427,113.4315
Fam0_Level_byte_rate,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.0139,0.979,7722.5581,-53516.9109,59704.3549
Fam0_Level_byte_rate,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.0111,0.985,5906.5694,-63620.2818,42230.4784
Fam0_Level_byte_rate,block-3-thu,Thursday Block 3 (02:00 - 03:36),-0.0406,0.9923,-20779.9795,-86028.5775,19002.9506
Fam0_Level_byte_rate,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.0358,0.9932,-19633.5789,-83822.041,14755.0129
Fam0_Level_iat_mean,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-1.3492,0.3419,-4.1936,-4.6943,-3.6036
Fam0_Level_iat_mean,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-1.5043,0.273,-4.5091,-5.0219,-3.9536
Fam0_Level_iat_mean,block-3-thu,Thursday Block 3 (02:00 - 03:36),-1.3887,0.3816,-4.0596,-4.5939,-3.5044
Fam0_Level_iat_mean,block-4-thu,Thursday Block 4 (09:57 - 10:54),-0.9301,0.5767,-3.0039,-3.9573,-1.9388
Fam0_Level_rst_ratio,block-1-wed,Wednesday Block 1 (01:42 - 02:39),0.5594,0.6528,0.005,0.0016,0.0079
Fam0_Level_rst_ratio,block-2-wed,Wednesday Block 2 (10:50 - 12:04),0.9609,0.6,0.0078,0.0063,0.0093
Fam0_Level_rst_ratio,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.3071,0.8332,0.0026,0.0006,0.0045
Fam0_Level_rst_ratio,block-4-thu,Thursday Block 4 (09:57 - 10:54),0.2757,0.7978,0.0024,0.0001,0.0045
Fam1_Diff_dst_port_diversity,block-1-wed,Wednesday Block 1 (01:42 - 02:39),-0.0005,0.8786,-0.0453,-3.391,5.5509
Fam1_Diff_dst_port_diversity,block-2-wed,Wednesday Block 2 (10:50 - 12:04),-0.0243,0.8957,-2.281,-3.5394,3.6931
Fam1_Diff_dst_port_diversity,block-3-thu,Thursday Block 3 (02:00 - 03:36),0.001,0.9529,0.0697,-1.8928,1.9736
